Impact,Region,SSP,2020,2030,2040,2050
Water Cons. Green [BCM],North Africa and Middle East,SSP3,94.93107444,145.8279696,193.2526177,241.8016051
Water Cons. Green [BCM],North Africa and Middle East,SSP4,93.2634873,149.2226547,206.5007993,287.1855284
Water Cons. Green [BCM],North Africa and Middle East,SSP5,103.8634722,198.3474641,407.2833294,494.8748442
Water Cons. Green [BCM],Median,SSP1,101.9817438,188.3269713,350.9862017,436.7698513
Water Cons. Green [BCM],Median,SSP2,97.62855298,158.7915422,278.4085693,431.9721616
Water Cons. Green [BCM],Median,SSP3,95.47312145,145.9091455,194.6799229,246.6344714
Water Cons. Green [BCM],Median,SSP4,93.86346178,148.2714571,207.5134579,292.8350536
Water Cons. Green [BCM],Median,SSP5,102.6752423,195.2850829,382.5554909,472.9297974
Fossil Fuels [EJ],Central Europe,SSP1,0.224092974,0.367484306,0.707960409,0.979840917
Fossil Fuels [EJ],Central Europe,SSP2,0.222686294,0.326046207,0.579640239,0.953726703
Fossil Fuels [EJ],Central Europe,SSP3,0.225519781,0.329603626,0.458441481,0.605426998
Fossil Fuels [EJ],Central Europe,SSP4,0.224329097,0.329523888,0.466081745,0.686675989
Fossil Fuels [EJ],Central Europe,SSP5,0.223739847,0.378071146,0.778334066,1.051526673
Fossil Fuels [EJ],Central Latin America,SSP1,0.143419859,0.280176712,0.597421309,0.813724802
Fossil Fuels [EJ],Central Latin America,SSP2,0.137832999,0.234638915,0.461754228,0.796329227
Fossil Fuels [EJ],Central Latin America,SSP3,0.134798141,0.217376569,0.312380853,0.428250879
Fossil Fuels [EJ],Central Latin America,SSP4,0.132564435,0.219370687,0.332687147,0.510711437
Fossil Fuels [EJ],Central Latin America,SSP5,0.143926567,0.293470399,0.654848908,0.896955262
Fossil Fuels [EJ],East Asia,SSP1,0.148585653,0.29870627,0.653989745,0.932924142
Fossil Fuels [EJ],East Asia,SSP2,0.142833169,0.250295401,0.510017408,0.90856281
Fossil Fuels [EJ],East Asia,SSP3,0.139709998,0.231964883,0.347742279,0.496219293
Fossil Fuels [EJ],East Asia,SSP4,0.137404694,0.234082708,0.370295852,0.590947821
Fossil Fuels [EJ],East Asia,SSP5,0.149108078,0.31157125,0.718406687,1.024799051
Fossil Fuels [EJ],North Africa and Middle East,SSP1,0.149593815,0.295222641,0.647620511,0.882834655
Fossil Fuels [EJ],North Africa and Middle East,SSP2,0.141387143,0.247995942,0.483112984,0.855129486
Fossil Fuels [EJ],North Africa and Middle East,SSP3,0.13809084,0.224550286,0.324617491,0.444876953
Fossil Fuels [EJ],North Africa and Middle East,SSP4,0.135684529,0.230328653,0.347431369,0.529337896
Fossil Fuels [EJ],North Africa and Middle East,SSP5,0.151166176,0.309027908,0.715546403,0.963997564
Fossil Fuels [EJ],Median,SSP1,0.148850105,0.295320054,0.619837099,0.856344553
Fossil Fuels [EJ],Median,SSP2,0.142146106,0.247809639,0.482677684,0.835367777
Fossil Fuels [EJ],Median,SSP3,0.139227861,0.227023321,0.332623859,0.463206535
Fossil Fuels [EJ],Median,SSP4,0.136893654,0.230999921,0.355035479,0.551194499
