"Year","Reference_country_Scenario","SSP_Scenario","Type","Total_kg","total_Kt"
2035,"CH","SSP3","pork",44174233571.2972,44174.2335712972
2040,"CH","SSP3","pork",50073364911.9363,50073.3649119363
2045,"CH","SSP3","pork",56390312200.5556,56390.3122005556
2050,"CH","SSP3","pork",63246055862.0314,63246.0558620314
2010,"BR","SSP3","pork",748227276.298618,748.227276298618
2011,"BR","SSP3","pork",1260419632.51741,1260.41963251741
2012,"BR","SSP3","pork",1738838588.93964,1738.83858893964
2013,"BR","SSP3","pork",2186107166.51295,2186.10716651295
2015,"BR","SSP3","pork",2997100114.33074,2997.10011433074
2020,"BR","SSP3","pork",4641039498.03942,4641.03949803942
2025,"BR","SSP3","pork",5925206147.30308,5925.20614730308
2030,"BR","SSP3","pork",7033354270.26497,7033.35427026497
2035,"BR","SSP3","pork",8095355800.41093,8095.35580041093
2040,"BR","SSP3","pork",9194724633.6471,9194.7246336471
2045,"BR","SSP3","pork",10376140865.3778,10376.1408653778
2050,"BR","SSP3","pork",11652975027.5831,11652.9750275831
2010,"EG","SSP3","pork",1167759415.40049,1167.75941540049
2011,"EG","SSP3","pork",1226737301.84155,1226.73730184155
2012,"EG","SSP3","pork",1283983376.28031,1283.98337628031
2013,"EG","SSP3","pork",1339679466.18056,1339.67946618056
2015,"EG","SSP3","pork",1447101130.31814,1447.10113031814
2020,"EG","SSP3","pork",1699460251.45152,1699.46025145152
2025,"EG","SSP3","pork",1940832786.35902,1940.83278635902
2030,"EG","SSP3","pork",2182271590.42288,2182.27159042288
2035,"EG","SSP3","pork",2430553569.18592,2430.55356918592
2040,"EG","SSP3","pork",2688846880.68817,2688.84688068817
2045,"EG","SSP3","pork",2957378137.80354,2957.37813780354
2050,"EG","SSP3","pork",3234099610.57654,3234.09961057654
2010,"VN","SSP3","pork",1.615,1.615e-06
2011,"VN","SSP3","pork",1596551581.88738,1596.55158188738
2012,"VN","SSP3","pork",5863652232.95767,5863.65223295767
2013,"VN","SSP3","pork",9823839288.90962,9823.83928890962
2015,"VN","SSP3","pork",16916496896.1071,16916.4968961071
2020,"VN","SSP3","pork",30796150328.5031,30796.1503285031
2025,"VN","SSP3","pork",40948071724.8827,40948.0717248827
2030,"VN","SSP3","pork",49115044513.4503,49115.0445134503
2035,"VN","SSP3","pork",56540401591.27,56540.40159127
2040,"VN","SSP3","pork",64036973442.5065,64036.9734425065
2045,"VN","SSP3","pork",72056036256.6661,72056.0362566661
2050,"VN","SSP3","pork",80756260046.8377,80756.2600468377
2010,"CH","SSP3","poultry",1449110479.53251,1449.11047953251
2011,"CH","SSP3","poultry",2801253190.4385,2801.2531904385
2012,"CH","SSP3","poultry",4063754706.19452,4063.75470619452
2013,"CH","SSP3","poultry",5243418290.63484,5243.41829063484
2015,"CH","SSP3","poultry",7379936552.47727,7379.93655247727
2020,"CH","SSP3","poultry",11691029217.7903,11691.0292177903
2025,"CH","SSP3","poultry",15019539438.6649,15019.5394386649
2030,"CH","SSP3","poultry",17844201986.4595,17844.2019864595
2035,"CH","SSP3","poultry",20504633428.9328,20504.6334289328
2040,"CH","SSP3","poultry",23220630118.4782,23220.6301184782
2045,"CH","SSP3","poultry",26111466180.3588,26111.4661803588
2050,"CH","SSP3","poultry",29215191500.9424,29215.1915009424
2010,"BR","SSP3","poultry",210553698.049345,210.553698049345
2011,"BR","SSP3","poultry",2880642868.08678,2880.64286808678
2012,"BR","SSP3","poultry",5372974326.93627,5372.97432693627
2013,"BR","SSP3","poultry",7701465298.5428,7701.4652985428
2015,"BR","SSP3","poultry",11919511543.8459,11919.5115438459
2020,"BR","SSP3","poultry",20455576027.037,20455.576027037
2025,"BR","SSP3","poultry",27122453356.8689,27122.4533568689
2030,"BR","SSP3","poultry",32900029521.1945,32900.0295211945
2035,"BR","SSP3","poultry",38483839051.6301,38483.8390516302
2040,"BR","SSP3","poultry",44324533788.7117,44324.5337887117
2045,"BR","SSP3","poultry",50667351647.0516,50667.3516470516
2050,"BR","SSP3","poultry",57591585380.4946,57591.5853804946
2010,"EG","SSP3","poultry",1883915377.40342,1883.91537740342
2011,"EG","SSP3","poultry",2764817292.30896,2764.81729230896
2012,"EG","SSP3","poultry",3589779555.36173,3589.77955536173
2013,"EG","SSP3","poultry",4363068280.89273,4363.06828089273
2015,"EG","SSP3","poultry",5770739105.15271,5770.73910515271
2020,"EG","SSP3","poultry",8648482991.85572,8648.48299185572
2025,"EG","SSP3","poultry",10916029440.7767,10916.0294407767
2030,"EG","SSP3","poultry",12872461731.1257,12872.4617311257
2035,"EG","SSP3","poultry",14729249800.761,14729.249800761
2040,"EG","SSP3","poultry",16622436028.8898,16622.4360288898
2045,"EG","SSP3","poultry",18624821018.7713,18624.8210187713
2050,"EG","SSP3","poultry",20758149380.4173,20758.1493804173
2010,"VN","SSP3","poultry",2033274817.14413,2033.27481714413
2011,"VN","SSP3","poultry",2703051414.95604,2703.05141495604
2012,"VN","SSP3","poultry",3344377967.42003,3344.37796742003
2013,"VN","SSP3","poultry",3960420565.07275,3960.42056507275
2015,"VN","SSP3","poultry",5128586923.62034,5128.58692362034
2020,"VN","SSP3","poultry",7800646262.89861,7800.64626289861
2025,"VN","SSP3","poultry",10341940898.0465,10341.9408980465
2030,"VN","SSP3","poultry",12968461711.0428,12968.4617110428
2035,"VN","SSP3","poultry",15829266266.6953,15829.2662666953
2040,"VN","SSP3","poultry",19016042676.5579,19016.0426765579
2045,"VN","SSP3","poultry",22572673462.8483,22572.6734628483
2050,"VN","SSP3","poultry",26504799422.365,26504.799422365
2010,"CH","SSP3","mutton",1056794720.3966,1056.7947203966
2011,"CH","SSP3","mutton",1379998009.11506,1379.99800911506
2012,"CH","SSP3","mutton",1683894582.92617,1683.89458292617
2013,"CH","SSP3","mutton",1969976051.35696,1969.97605135696
2015,"CH","SSP3","mutton",2494326054.32116,2494.32605432116
2020,"CH","SSP3","mutton",3585276496.26788,3585.27649626788
2025,"CH","SSP3","mutton",4468871483.2554,4468.8714832554
2030,"CH","SSP3","mutton",5249271279.14363,5249.27127914363
2035,"CH","SSP3","mutton",5999860596.35545,5999.86059635545
2040,"CH","SSP3","mutton",6767538217.59848,6767.53821759848
2045,"CH","SSP3","mutton",7577006617.58679,7577.00661758679
2050,"CH","SSP3","mutton",8435061584.7627,8435.0615847627
2010,"BR","SSP3","mutton",1331690571.08948,1331.69057108948
2011,"BR","SSP3","mutton",1356264372.48865,1356.26437248865
2012,"BR","SSP3","mutton",1383063994.8173,1383.0639948173
2013,"BR","SSP3","mutton",1411973752.9688,1411.9737529688
2015,"BR","SSP3","mutton",1475679862.60274,1475.67986260274
2020,"BR","SSP3","mutton",1664489143.35918,1664.48914335918
2025,"BR","SSP3","mutton",1886355969.49309,1886.35596949309
2030,"BR","SSP3","mutton",2131556944.79454,2131.55694479454
2035,"BR","SSP3","mutton",2392198272.97914,2392.19827297914
2040,"BR","SSP3","mutton",2662006309.95767,2662.00630995767
2045,"BR","SSP3","mutton",2936118116.10579,2936.11811610579
2050,"BR","SSP3","mutton",3210872008.53377,3210.87200853377
2010,"EG","SSP3","mutton",1331690571.08948,1331.69057108948
2011,"EG","SSP3","mutton",1356264372.48865,1356.26437248865
2012,"EG","SSP3","mutton",1383063994.8173,1383.0639948173
2013,"EG","SSP3","mutton",1411973752.9688,1411.9737529688
2015,"EG","SSP3","mutton",1475679862.60274,1475.67986260274
2020,"EG","SSP3","mutton",1664489143.35918,1664.48914335918
2025,"EG","SSP3","mutton",1886355969.49309,1886.35596949309
2030,"EG","SSP3","mutton",2131556944.79454,2131.55694479454
2035,"EG","SSP3","mutton",2392198272.97914,2392.19827297914
2040,"EG","SSP3","mutton",2662006309.95767,2662.00630995767
2045,"EG","SSP3","mutton",2936118116.10579,2936.11811610579
2050,"EG","SSP3","mutton",3210872008.53377,3210.87200853377
2010,"VN","SSP3","mutton",1318014910.12775,1318.01491012775
2011,"VN","SSP3","mutton",1357271170.24891,1357.27117024891
2012,"VN","SSP3","mutton",1397738232.38028,1397.73823238028
2013,"VN","SSP3","mutton",1439379565.07566,1439.37956507566
2015,"VN","SSP3","mutton",1526040379.65724,1526.04037965724
2020,"VN","SSP3","mutton",1760742209.68864,1760.74220968864
2025,"VN","SSP3","mutton",2017782697.20485,2017.78269720485
2030,"VN","SSP3","mutton",2293028488.52389,2293.02848852389
2035,"VN","SSP3","mutton",2582564322.16731,2582.56432216731
2040,"VN","SSP3","mutton",2882706771.72851,2882.70677172851
2045,"VN","SSP3","mutton",3190017988.74112,3190.01798874112
2050,"VN","SSP3","mutton",3501319445.54742,3501.31944554742
