"","continent","Year","Code","Meat.consumption.per.capita..kilograms.per.year.","cgdppc","Mutton...goat..kg.","Beef.and.buffalo..kg.","Pigmeat..kg.","Poultry..kg.","macrocontinent","state","chrstprot","chrstcat","chrstorth","chrstang","chrstothr","chrstgen","judorth","jdcons","judref","judothr","judgen","islmsun","islmshi","islmibd","islmnat","islmalw","islmahm","islmothr","islmgen","budmah","budthr","budothr","budgen","zorogen","hindgen","sikhgen","shntgen","bahgen","taogen","jaingen","confgen","syncgen","anmgen","nonrelig","othrgen","sumrelig","pop","chrstprotpct","chrstcatpct","chrstorthpct","chrstangpct","chrstothrpct","chrstgenpct","judorthpct","judconspct","judrefpct","judothrpct","judgenpct","islmsunpct","islmshipct","islmibdpct","islmnatpct","islmalwpct","islmahmpct","islmothrpct","islmgenpct","budmahpct","budthrpct","budothrpct","budgenpct","zorogenpct","hindgenpct","sikhgenpct","shntgenpct","bahgenpct","taogenpct","jaingenpct","confgenpct","syncgenpct","anmgenpct","nonreligpct","othrgenpct","sumreligpct","total","dualrelig","datatype","sourcereliab","recreliab","reliabilevel","Version","sourcecode","christians_share","jews_share","muslims_share","nonrelig_share","hindus_share","buddists_share","folk_share","other_share","Country","urbanisation","Meat live weight, cattle","Meat live weight, chicken","Meat live weight, goat","Meat live weight, pig","Item","deflated"
"1275","Central Europe",2009,"BIH",27.33,8624,0.51,8.62,6.74,11.38,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2394,108.70711622106,108.718030068275,96.0710864646803,108.615465014072,"Cereals, Total",77.3587408374347
"1276","Central Europe",2009,"MNE",70.74,14296,1.8,13.71,42.74,12.49,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.805,108.70711622106,108.718030068275,96.0710864646803,108.615465014072,"Cereals, Total",77.3587408374347
"1277","Central Europe",2009,"ALB",55.71,9373,10.83,19.71,11.41,13.74,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44964,4e-05,1.25392,0.14254,0,0,0,0.0022,NA,51.0766,108.70711622106,108.718030068275,96.0710864646803,108.615465014072,"Cereals, Total",77.3587408374347
"1278","Central Europe",2010,"POL",74.72,20495,0.04,2.76,50.23,21.52,"Europe",290,145600,33507000,505200,0,381829,34539629,0,0,0,1600,1600,0,0,0,0,0,0,5100,5100,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,3054633,580458,37602462,38182920,0.0038,0.8775,0.0132,0,0.01,0.9046,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0152,0.9848,0.9999,0,24,5,20,"Medium",1.1,112,1.8091,0,2e-04,0.08,0,0,0,0,"Poland",60.892,100,100,100,100,"Cereals, Total",100
"1279","Central Europe",2010,"SVK",58.33,22555,0.18,5.07,35.51,16.05,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slovakia",54.685,100,100,100,100,"Cereals, Total",100
"1280","Central Europe",2010,"HRV",60.95,18987,0.91,9.19,41.98,8.15,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Croatia",55.155,100,100,100,100,"Cereals, Total",100
"1281","Central Europe",2010,"MKD",37.02,11625,1,8.69,9.7,17.45,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TFYR Macedonia",57.089,100,100,100,100,"Cereals, Total",100
"1282","Central Europe",2010,"SVN",85.93,25660,1.01,19.91,39.55,24.84,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slovenia",52.658,100,100,100,100,"Cereals, Total",100
"1283","Central Europe",2010,"MNE",79.24,14536,1.55,13.05,50.14,14.5,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montenegro",64.14,100,100,100,100,"Cereals, Total",100
"1284","Central Europe",2010,"ALB",58.99,9324,12.11,21.38,11.12,14.3,"Europe",339,0,419535,223686,0,42000,685221,0,0,0,0,0,1917315,95865,0,0,0,0,0,2013180,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,481586,8538,3186987,3195525,0,0.1313,0.07,0,0.0131,0.2144,0,0,0,0,0,0.6,0.03,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0.1507,0.0027,0.9973,1,0,1,4,7,"High",1.1,121,0.4288,0,1.26,0.1507,0,0,0,0.0022,"Albania",52.163,100,100,100,100,"Cereals, Total",100
