Impact,Scenario,SSP,Production,2020,2030,2040,2050
Energy,Central Europe,SSP1,currentshare,0.326391195,0.545288481,1.045107731,1.376894181
Energy,Central Europe,SSP2,currentshare,0.321734876,0.471100849,0.85237141,1.371611949
Energy,Central Europe,SSP3,currentshare,0.324580944,0.473401238,0.63495886,0.822418457
Energy,Central Latin America,SSP1,currentshare,0.190758534,0.389351997,0.809389376,1.039587926
Energy,Central Latin America,SSP2,currentshare,0.180534133,0.316183367,0.64675077,1.074168126
Energy,Central Latin America,SSP3,currentshare,0.175784316,0.291026012,0.415949388,0.570355071
Energy,East Asia,SSP1,currentshare,0.191418678,0.391508005,0.800660824,1.033758505
Energy,East Asia,SSP2,currentshare,0.181211154,0.317014874,0.644999433,1.064232536
Energy,East Asia,SSP3,currentshare,0.176476943,0.291911803,0.417048781,0.571682968
Energy,North Africa and Middle East,SSP1,currentshare,0.199847777,0.415798631,0.893054652,1.166341393
Energy,North Africa and Middle East,SSP2,currentshare,0.185875862,0.339664589,0.691945171,1.185444667
Energy,North Africa and Middle East,SSP3,currentshare,0.18041656,0.303832591,0.441834443,0.613004681
GHG,Central Europe,SSP1,currentshare,62.0354417,102.0287841,190.5620196,252.3179757
GHG,Central Europe,SSP2,currentshare,61.40351282,89.47738662,157.223151,250.6647866
GHG,Central Europe,SSP3,currentshare,61.89177601,90.40071981,121.2360174,156.8807561
GHG,Central Latin America,SSP1,currentshare,35.99283991,72.7819329,142.9007291,180.0763061
GHG,Central Latin America,SSP2,currentshare,34.1680197,59.9725457,118.0713902,190.0108772
GHG,Central Latin America,SSP3,currentshare,33.10291664,55.16673042,79.05799092,108.8076183
GHG,East Asia,SSP1,currentshare,35.98826993,72.93977944,141.0348783,178.4106091
GHG,East Asia,SSP2,currentshare,34.16333289,59.96678943,117.488494,187.9011874
GHG,East Asia,SSP3,currentshare,33.09812178,55.16059834,79.05038015,108.7984257
GHG,North Africa and Middle East,SSP1,currentshare,37.08023236,76.33708853,154.951482,198.3018688
GHG,North Africa and Middle East,SSP2,currentshare,34.66124713,63.04582408,124.2663093,205.9077887
GHG,North Africa and Middle East,SSP3,currentshare,33.38528512,56.72590387,82.41357872,114.2875772
Land,Central Europe,SSP1,hightech,0.318258993,0.449441363,0.725105325,0.945763188
Land,Central Europe,SSP2,hightech,0.318107318,0.416278365,0.625003968,0.928476711
Land,Central Europe,SSP3,hightech,0.320056898,0.423508984,0.536907408,0.664857037
Land,Central Latin America,SSP1,hightech,0.226277981,0.354025663,0.556453327,0.664827349
Land,Central Latin America,SSP2,hightech,0.220828514,0.315081664,0.497039256,0.711608924
Land,Central Latin America,SSP3,hightech,0.216159199,0.297999267,0.387536825,0.499106374
Land,East Asia,SSP1,hightech,0.225546533,0.352986003,0.547739496,0.655104631
