Impact,Scenario,SSP,Production,2020,2030,2040,2050
N2O,North Africa and Middle East,SSP3,currentshare,9.081620487,15.30439259,22.17764282,30.66698093
CO2,Central Europe,SSP1,hightech,44.10387707,66.26504761,114.1812901,143.1671861
CO2,Central Europe,SSP2,hightech,43.47170618,58.60326454,97.28580345,144.6771002
CO2,Central Europe,SSP3,hightech,43.41345766,58.19452616,74.19205337,92.86876134
CO2,Central Latin America,SSP1,hightech,30.80290996,51.01023066,95.51589689,121.5966847
CO2,Central Latin America,SSP2,hightech,29.67423979,44.07190212,77.16250709,121.1560998
CO2,Central Latin America,SSP3,hightech,29.03918895,40.76531423,53.413476,69.53595489
CO2,East Asia,SSP1,hightech,30.84020858,51.07987029,94.97835452,121.1769558
CO2,East Asia,SSP2,hightech,29.71249193,44.11888289,77.01824035,120.4535978
CO2,East Asia,SSP3,hightech,29.07832289,40.8153621,53.47559253,69.61098199
CO2,North Africa and Middle East,SSP1,hightech,31.84457271,52.98099265,101.4792878,130.6188248
CO2,North Africa and Middle East,SSP2,hightech,30.45392718,46.12363733,80.37347064,129.0693562
CO2,North Africa and Middle East,SSP3,hightech,29.8624228,42.21431175,55.8954485,73.32721357
CH4,Central Europe,SSP1,hightech,30.63508702,43.40566628,70.27836958,91.53737985
CH4,Central Europe,SSP2,hightech,30.60451703,40.11513432,60.51203496,90.02357502
CH4,Central Europe,SSP3,hightech,30.78705769,40.79241949,51.70976972,64.0833609
CH4,Central Latin America,SSP1,hightech,21.66792348,33.99462587,53.46834547,63.65845408
CH4,Central Latin America,SSP2,hightech,21.13141544,30.1942786,47.82086244,68.40713438
CH4,Central Latin America,SSP3,hightech,20.68215883,28.54832368,37.13039851,47.84254845
CH4,East Asia,SSP1,hightech,21.59824541,33.90291089,52.64254361,62.73457962
CH4,East Asia,SSP2,hightech,21.05995607,30.10651315,47.45687518,67.48134569
CH4,East Asia,SSP3,hightech,20.60905216,28.45482853,37.01435773,47.70238924
CH4,North Africa and Middle East,SSP1,hightech,21.7012489,34.47250712,55.82578906,67.16470693
CH4,North Africa and Middle East,SSP2,hightech,21.01271451,30.51926007,48.74703541,71.40302048
CH4,North Africa and Middle East,SSP3,hightech,20.44384692,28.61835559,37.46476739,48.33370253
N2O,Central Europe,SSP1,hightech,14.44950865,20.69011831,34.45749097,44.95786365
