,,Agriculture,Energy,Extraction of fossil fuels,Manufacturing,Meat production,Services,Waste management
Africa,PBA,0.0,0.0,289.4779376940701,0.0,0.0,0.0,0.0
Africa,IBA,24.685712305906,159.35493933356173,0.9286970617743796,87.94553110418919,41.7425071457562,33.62114259500262,19.714675119515643
Africa,CBA,0.0,0.0,0.0,0.0,632.2530097628107,0.0,0.0
RoW,PBA,0.0,0.0,600.1056321374105,0.0,0.0,0.0,0.0
RoW,IBA,90.92251299141041,138.16204363546598,9.129785229031508,246.81857526225485,2.732204381432266,29.22279060957753,4.602453055101197
RoW,CBA,0.0,0.0,0.0,0.0,257.3305601243334,0.0,0.0
