,,,2020,2030,2040,2050
Water Cons. Green [BCM],North Africa and Middle East,SSP2,100.50089897009039,163.28740069956623,285.5340791887054,452.0187831148172
Water Cons. Green [BCM],North Africa and Middle East,SSP3,97.955287956719,148.71055813495963,195.92276864862993,244.2593185179352
Water Cons. Green [BCM],North Africa and Middle East,SSP4,96.2877008175395,152.10524321262153,209.17095026306194,289.64324179210985
Water Cons. Green [BCM],North Africa and Middle East,SSP5,106.88768574759595,201.2300526232275,409.9534803244996,497.3325576126046
Fossil Fuels [EJ],Central Europe,SSP1,0.2578707935182162,0.41218949083246337,0.7730453347387087,1.0448193664321985
Fossil Fuels [EJ],Central Europe,SSP2,0.256184531562738,0.36597439436923945,0.6332357494756997,1.0169764400558496
Fossil Fuels [EJ],Central Europe,SSP3,0.2593819414408998,0.36952999267936176,0.5002104984495853,0.6444735243196268
Fossil Fuels [EJ],Central Europe,SSP4,0.25808338964894406,0.36944488199918524,0.5084785366455801,0.7312825271757794
Fossil Fuels [EJ],Central Europe,SSP5,0.2574652217836416,0.42417522320517087,0.8489345098660606,1.1204481160404383
Fossil Fuels [EJ],Central Latin America,SSP1,0.1708907284319481,0.32505509872290345,0.6871312747640582,0.9325595782459739
Fossil Fuels [EJ],Central Latin America,SSP2,0.16455333597991662,0.2733062340668659,0.5297562240617442,0.9086719754462257
Fossil Fuels [EJ],Central Latin America,SSP3,0.16122877223404533,0.25380640108707025,0.3594780426350154,0.4873536783822064
Fossil Fuels [EJ],Central Latin America,SSP4,0.15872504905890314,0.2560571234992399,0.38232557983130644,0.579918153576417
Fossil Fuels [EJ],Central Latin America,SSP5,0.17145010660205193,0.3404493722359122,0.7540776282550751,1.030932922369623
Fossil Fuels [EJ],East Asia,SSP1,0.17606875567667682,0.3425781471621352,0.7376457183657107,1.041195380300392
Fossil Fuels [EJ],East Asia,SSP2,0.16958866285358085,0.28824269535484764,0.5738369002832039,1.0094452880878182
Fossil Fuels [EJ],East Asia,SSP3,0.16619228661947472,0.267803335947868,0.39258137787148084,0.5501085464641743
Fossil Fuels [EJ],East Asia,SSP4,0.1636249834444269,0.27016329039468717,0.41743834048202955,0.6535153239244168
Fossil Fuels [EJ],East Asia,SSP5,0.17664150942906207,0.3572836674358093,0.8112850826488149,1.1467479030515835
Fossil Fuels [EJ],North Africa and Middle East,SSP1,0.17880468108210457,0.3448087508616987,0.7533724155361504,1.0279190793194117
Fossil Fuels [EJ],North Africa and Middle East,SSP2,0.169409450197292,0.2908213456406274,0.5606186765424325,0.9916245686376663
Fossil Fuels [EJ],North Africa and Middle East,SSP3,0.1658525740872832,0.2639431865692474,0.3778704918469222,0.5146730270050577
