,,,,2020,2030,2040,2050
Water Cons. Green [BCM],Central Latin America,SSP1,baseline,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP1,optimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP2,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP2,baseline,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP2,optimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP3,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP3,baseline,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP3,optimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP4,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP4,baseline,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP4,optimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP5,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP5,baseline,0,0,0,0.0
Water Cons. Green [BCM],Central Latin America,SSP5,optimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP1,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP1,baseline,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP1,optimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP2,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP2,baseline,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP2,optimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP3,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP3,baseline,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP3,optimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP4,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP4,baseline,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP4,optimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP5,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP5,baseline,0,0,0,0.0
Water Cons. Green [BCM],East Asia,SSP5,optimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP1,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP1,baseline,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP1,optimistic,0,0,0,0.0
