,,,,2020,2030,2040,2050
Land [Mkm2],North Africa and Middle East,SSP2,baseline,-3.0474349055862655,-2.849766834243588,-2.5542548764826765,-2.259060107384764
Land [Mkm2],North Africa and Middle East,SSP2,optimistic,-3.0464676810487803,-2.84853526821517,-2.5527925762814823,-2.257448414933196
Land [Mkm2],North Africa and Middle East,SSP3,pessimistic,-3.0472743775134754,-2.850346469761842,-2.555295481955076,-2.260222410156186
Land [Mkm2],North Africa and Middle East,SSP3,baseline,-3.0472743775134754,-2.850346469761842,-2.555295481955076,-2.260222410156186
Land [Mkm2],North Africa and Middle East,SSP3,optimistic,-3.046283760951231,-2.8491969223586477,-2.5539760802792464,-2.258762614246311
Land [Mkm2],North Africa and Middle East,SSP4,pessimistic,-3.047275143476688,-2.8503840375417693,-2.5550491773349124,-2.25933047987379
Land [Mkm2],North Africa and Middle East,SSP4,baseline,-3.047275143476688,-2.8503840375417693,-2.5550491773349124,-2.25933047987379
Land [Mkm2],North Africa and Middle East,SSP4,optimistic,-3.0462846335685585,-2.8492399695222126,-2.5536962009611424,-2.257754638959987
Land [Mkm2],North Africa and Middle East,SSP5,pessimistic,-3.047576813406625,-2.8491862996381174,-2.5531939716943937,-2.2594431966991486
Land [Mkm2],North Africa and Middle East,SSP5,baseline,-3.047576813406625,-2.8491862996381174,-2.5531939716943937,-2.2594431966991486
Land [Mkm2],North Africa and Middle East,SSP5,optimistic,-3.046630416380511,-2.8478716538329705,-2.5515857648203246,-2.257884937347716
Water Cons. Blue [BCM],Central Europe,SSP1,pessimistic,-3.623628779090631,-3.4043930093800645,-3.0818576547319814,-2.7591806033177297
Water Cons. Blue [BCM],Central Europe,SSP1,baseline,-3.623628779090631,-3.4043930093800645,-3.0818576547319814,-2.7591806033177297
Water Cons. Blue [BCM],Central Europe,SSP1,optimistic,-3.6229067623783964,-3.4035139677461803,-3.0812748950361044,-2.759263604775775
Water Cons. Blue [BCM],Central Europe,SSP2,pessimistic,-3.623437949057317,-3.4057002442333424,-3.081863787592839,-2.7607108954005395
Water Cons. Blue [BCM],Central Europe,SSP2,baseline,-3.623437949057317,-3.4057002442333424,-3.081863787592839,-2.7607108954005395
Water Cons. Blue [BCM],Central Europe,SSP2,optimistic,-3.622702447597836,-3.4048660541866744,-3.081206109349898,-2.760656029460414
Water Cons. Blue [BCM],Central Europe,SSP3,pessimistic,-3.623248229172711,-3.407219092160888,-3.0847751401026082,-2.763182041954649
Water Cons. Blue [BCM],Central Europe,SSP3,baseline,-3.623248229172711,-3.407219092160888,-3.0847751401026082,-2.763182041954649
Water Cons. Blue [BCM],Central Europe,SSP3,optimistic,-3.6224969258159345,-3.406430256229262,-3.0841520551520674,-2.7630033700707655
Water Cons. Blue [BCM],Central Europe,SSP4,pessimistic,-3.6232682251641046,-3.407143539641713,-3.084001716305611,-2.7607527543182555
Water Cons. Blue [BCM],Central Europe,SSP4,baseline,-3.6232682251641046,-3.407143539641713,-3.084001716305611,-2.7607527543182555
Water Cons. Blue [BCM],Central Europe,SSP4,optimistic,-3.622518017481899,-3.406351473523459,-3.0833627714829595,-2.7605785023262994
Water Cons. Blue [BCM],Central Europe,SSP5,pessimistic,-3.623635817938456,-3.404007926845137,-3.079841548129858,-2.756900545647625
Water Cons. Blue [BCM],Central Europe,SSP5,baseline,-3.623635817938456,-3.404007926845137,-3.079841548129858,-2.756900545647625
Water Cons. Blue [BCM],Central Europe,SSP5,optimistic,-3.6229155254508867,-3.403116049174363,-3.079254830275554,-2.7571458980222787
Water Cons. Blue [BCM],Central Latin America,SSP1,pessimistic,-4.046084219633697,-4.247486560776285,-4.551434497020527,-4.847878923712226
Water Cons. Blue [BCM],Central Latin America,SSP1,baseline,-4.046084219633697,-4.247486560776285,-4.551434497020527,-4.847878923712226
Water Cons. Blue [BCM],Central Latin America,SSP1,optimistic,-4.045174066233437,-4.245857017853122,-4.548619793292021,-4.843115369669739
Water Cons. Blue [BCM],Central Latin America,SSP2,pessimistic,-4.0458758341160355,-4.248592947680433,-4.553770608434868,-4.854013301373836
Water Cons. Blue [BCM],Central Latin America,SSP2,baseline,-4.0458758341160355,-4.248592947680433,-4.553770608434868,-4.854013301373836
Water Cons. Blue [BCM],Central Latin America,SSP2,optimistic,-4.044946090232119,-4.247046157208106,-4.551209079935791,-4.849827701874812
Water Cons. Blue [BCM],Central Latin America,SSP3,pessimistic,-4.04561126338112,-4.250351635300386,-4.5573026623111925,-4.860681588944586
Water Cons. Blue [BCM],Central Latin America,SSP3,baseline,-4.04561126338112,-4.250351635300386,-4.5573026623111925,-4.860681588944586
Water Cons. Blue [BCM],Central Latin America,SSP3,optimistic,-4.044658214978476,-4.248929607095848,-4.5550403695471635,-4.8571568662882525
Water Cons. Blue [BCM],Central Latin America,SSP4,pessimistic,-4.045629606795722,-4.250332580012213,-4.556379854280255,-4.856960767280523
Water Cons. Blue [BCM],Central Latin America,SSP4,baseline,-4.045629606795722,-4.250332580012213,-4.556379854280255,-4.856960767280523
Water Cons. Blue [BCM],Central Latin America,SSP4,optimistic,-4.044677948285779,-4.248911758599701,-4.554041865346567,-4.85309562232677
Water Cons. Blue [BCM],Central Latin America,SSP5,pessimistic,-4.04606847643637,-4.247414727167754,-4.547486800998546,-4.84655089785569
Water Cons. Blue [BCM],Central Latin America,SSP5,baseline,-4.04606847643637,-4.247414727167754,-4.547486800998546,-4.84655089785569
Water Cons. Blue [BCM],Central Latin America,SSP5,optimistic,-4.045159846289198,-4.245784962206736,-4.544295499427715,-4.841723120922735
Water Cons. Blue [BCM],East Asia,SSP1,pessimistic,-3.7283124746103407,-3.6132601129969055,-3.4459363180612073,-3.2760795380502987
Water Cons. Blue [BCM],East Asia,SSP1,baseline,-3.7283124746103407,-3.6132601129969055,-3.4459363180612073,-3.2760795380502987
Water Cons. Blue [BCM],East Asia,SSP1,optimistic,-3.727678829831897,-3.6123123330426856,-3.444881653513277,-3.274908487208785
Water Cons. Blue [BCM],East Asia,SSP2,pessimistic,-3.728263918799036,-3.6143398483891387,-3.446521569605273,-3.278894963488884
Water Cons. Blue [BCM],East Asia,SSP2,baseline,-3.728263918799036,-3.6143398483891387,-3.446521569605273,-3.278894963488884
Water Cons. Blue [BCM],East Asia,SSP2,optimistic,-3.7276249577492107,-3.613444203288052,-3.4454664240035915,-3.2777948279833287
Water Cons. Blue [BCM],East Asia,SSP3,pessimistic,-3.728073799597547,-3.6163737029935943,-3.44954203599853,-3.2829187896297087
Water Cons. Blue [BCM],East Asia,SSP3,baseline,-3.728073799597547,-3.6163737029935943,-3.44954203599853,-3.2829187896297087
Water Cons. Blue [BCM],East Asia,SSP3,optimistic,-3.7274209707477124,-3.615591527765663,-3.44861327256749,-3.2819278363486166
Water Cons. Blue [BCM],East Asia,SSP4,pessimistic,-3.7280863099164776,-3.616249823808735,-3.4486361602253375,-3.2799152354832413
Water Cons. Blue [BCM],East Asia,SSP4,baseline,-3.7280863099164776,-3.616249823808735,-3.4486361602253375,-3.2799152354832413
Water Cons. Blue [BCM],East Asia,SSP4,optimistic,-3.7274340064583416,-3.615461062407677,-3.447661141776267,-3.2788137350609463
Water Cons. Blue [BCM],East Asia,SSP5,pessimistic,-3.7282862733758764,-3.6129159176604793,-3.4438392650305376,-3.2750053592094956
Water Cons. Blue [BCM],East Asia,SSP5,baseline,-3.7282862733758764,-3.6129159176604793,-3.4438392650305376,-3.2750053592094956
Water Cons. Blue [BCM],East Asia,SSP5,optimistic,-3.7276525651554175,-3.6119538527138446,-3.442693899386365,-3.2738376791070896
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,pessimistic,-6.686747919102505,-9.521611925494659,-13.768949929246963,-17.995909898680384
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,baseline,-6.686747919102505,-9.521611925494659,-13.768949929246963,-17.995909898680384
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,optimistic,-6.684652150861155,-9.516279097248253,-13.757536180056515,-17.97499843564387
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,pessimistic,-6.6865065046803664,-9.522749172037965,-13.770121627279106,-17.998567795139287
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,baseline,-6.6865065046803664,-9.522749172037965,-13.770121627279106,-17.998567795139287
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,optimistic,-6.684380430786054,-9.517573623624456,-13.75889201462603,-17.978039769466456
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,pessimistic,-6.686093102765957,-9.525462237579678,-13.775658400494468,-18.007559680997975
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,baseline,-6.686093102765957,-9.525462237579678,-13.775658400494468,-18.007559680997975
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,optimistic,-6.683916988992063,-9.520652940566512,-13.765266960408411,-17.988459775032517
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,pessimistic,-6.686097163447336,-9.525496921173602,-13.773806595271504,-17.99955946381959
