Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2030,SSP3,North Africa and Middle East,1337405243,beef,7979761177,7979.761177,3040.289008
2030,SSP3,Central Latin America,1337405243,beef,9709936101,9709.936101,3699.485654
2030,SSP3,East Asia,1337405243,beef,8213484137,8213.484137,3129.337456
2030,SSP3,Central Europe,1337405243,beef,10837450228,10837.45023,4129.068537
2030,SSP4,Central Latin America,1331684744,beef,9690788999,9690.788999,3692.190609
2030,SSP4,East Asia,1331684744,beef,8282616130,8282.61613,3155.676746
2030,SSP4,North Africa and Middle East,1331684744,beef,7940131007,7940.131007,3025.189913
2030,SSP4,Central Europe,1331684744,beef,10879237293,10879.23729,4144.989409
2030,SSP5,East Asia,1173819717,beef,10156472324,10156.47232,3869.615955
2030,SSP5,Central Europe,1173819717,beef,12350932152,12350.93215,4705.70515
2030,SSP5,Central Latin America,1173819717,beef,11027092154,11027.09215,4201.322111
2030,SSP5,North Africa and Middle East,1173819717,beef,9135813274,9135.813274,3480.744857
2035,SSP1,Central Europe,1268628969,beef,14121981695,14121.98169,5380.475026
2035,SSP1,East Asia,1268628969,beef,11460617410,11460.61741,4366.495233
2035,SSP1,North Africa and Middle East,1268628969,beef,10350611852,10350.61185,3943.583116
2035,SSP1,Central Latin America,1268628969,beef,12942876983,12942.87698,4931.23613
2035,SSP2,North Africa and Middle East,1373973759,beef,10344749071,10344.74907,3941.349396
2035,SSP2,Central Europe,1373973759,beef,14519347837,14519.34784,5531.871526
2035,SSP2,Central Latin America,1373973759,beef,13004508727,13004.50873,4954.717825
2035,SSP2,East Asia,1373973759,beef,11911980058,11911.98006,4538.464402
2035,SSP3,North Africa and Middle East,1495467392,beef,9186975272,9186.975272,3500.237579
2035,SSP3,Central Latin America,1495467392,beef,11338933545,11338.93355,4320.133681
2035,SSP3,East Asia,1495467392,beef,10080794532,10080.79453,3840.782717
2035,SSP3,Central Europe,1495467392,beef,12951263774,12951.26377,4934.431498
2035,SSP4,Central Latin America,1486389922,beef,11543372073,11543.37207,4398.02476
2035,SSP4,East Asia,1486389922,beef,10358067004,10358.067,3946.423529
2035,SSP4,North Africa and Middle East,1486389922,beef,9326919073,9326.919073,3553.556167
2035,SSP4,Central Europe,1486389922,beef,13154300649,13154.30065,5011.788547
2035,SSP5,East Asia,1257851769,beef,11891230956,11891.23096,4530.558994
2035,SSP5,Central Europe,1257851769,beef,14481251832,14481.25183,5517.356948
2035,SSP5,Central Latin America,1257851769,beef,14180688326,14180.68833,5402.842252
2035,SSP5,North Africa and Middle East,1257851769,beef,10874254451,10874.25445,4143.090946
2040,SSP1,Central Europe,1350538145,beef,15661597746,15661.59775,5967.068741
2040,SSP1,East Asia,1350538145,beef,13154441643,13154.44164,5011.842266
2040,SSP1,North Africa and Middle East,1350538145,beef,12117432857,12117.43286,4616.741919
2040,SSP1,Central Latin America,1350538145,beef,16245786804,16245.7868,6189.644772
2040,SSP2,North Africa and Middle East,1491265643,beef,11731963940,11731.96394,4469.878261
2040,SSP2,Central Europe,1491265643,beef,16497985697,16497.9857,6285.732551
2040,SSP2,Central Latin America,1491265643,beef,14447813226,14447.81323,5504.616839
2040,SSP2,East Asia,1491265643,beef,13136474328,13136.47433,5004.996719
2040,SSP3,North Africa and Middle East,1659910201,beef,10565715963,10565.71596,4025.537782
2040,SSP3,Central Latin America,1659910201,beef,12851953347,12851.95335,4896.594225
2040,SSP3,East Asia,1659910201,beef,11531704880,11531.70488,4393.579559
2040,SSP3,Central Europe,1659910201,beef,15122857568,15122.85757,5761.808733
2040,SSP4,Central Latin America,1646655145,beef,13240974061,13240.97406,5044.811117
2040,SSP4,East Asia,1646655145,beef,12106478229,12106.47823,4612.568205
2040,SSP4,North Africa and Middle East,1646655145,beef,10834020212,10834.02021,4127.761701
2040,SSP4,Central Europe,1646655145,beef,15565194036,15565.19404,5930.338928
2040,SSP5,East Asia,1335860194,beef,14315642879,14315.64288,5454.259937
2040,SSP5,Central Europe,1335860194,beef,16411560392,16411.56039,6252.804509
2040,SSP5,Central Latin America,1335860194,beef,18612325199,18612.3252,7091.295901
2040,SSP5,North Africa and Middle East,1335860194,beef,12919468183,12919.46818,4922.317378
2045,SSP1,Central Europe,1424136936,beef,17893543019,17893.54302,6817.43989
2045,SSP1,East Asia,1424136936,beef,15890183533,15890.18353,6054.159926
2045,SSP1,North Africa and Middle East,1424136936,beef,13942260685,13942.26069,5312.001321
2045,SSP1,Central Latin America,1424136936,beef,20526534280,20526.53428,7820.609561
2045,SSP2,North Africa and Middle East,1605175585,beef,13572881654,13572.88165,5171.26791
2045,SSP2,Central Europe,1605175585,beef,18595914120,18595.91412,7085.04328
2045,SSP2,Central Latin America,1605175585,beef,17325495240,17325.49524,6601.013687
2045,SSP2,East Asia,1605175585,beef,14933928728,14933.92873,5689.826845
2045,SSP3,North Africa and Middle East,1830109833,beef,12105883420,12105.88342,4612.341583
2045,SSP3,Central Latin America,1830109833,beef,14548375447,14548.37545,5542.931045
2045,SSP3,East Asia,1830109833,beef,13423715531,13423.71553,5114.435617
2045,SSP3,Central Europe,1830109833,beef,17414558895,17414.5589,6634.946939
2045,SSP4,Central Latin America,1811950674,beef,15847237112,15847.23711,6037.79734
2045,SSP4,East Asia,1811950674,beef,14799833402,14799.8334,5638.736526
2045,SSP4,North Africa and Middle East,1811950674,beef,13121210301,13121.2103,4999.181125
2045,SSP4,Central Europe,1811950674,beef,18661454821,18661.45482,7110.014287
2045,SSP5,East Asia,1405100374,beef,17228917634,17228.91763,6564.217619
2045,SSP5,Central Europe,1405100374,beef,18324656579,18324.65658,6981.694157
2045,SSP5,Central Latin America,1405100374,beef,22008058315,22008.05832,8385.070218
2045,SSP5,North Africa and Middle East,1405100374,beef,14164399707,14164.39971,5396.636288
2050,SSP1,Central Europe,1488035847,beef,19349357093,19349.35709,7372.105052
2050,SSP1,East Asia,1488035847,beef,18085752935,18085.75294,6890.671868
2050,SSP1,North Africa and Middle East,1488035847,beef,14756984670,14756.98467,5622.411159
2050,SSP1,Central Latin America,1488035847,beef,23011875643,23011.87564,8767.52462
2050,SSP2,North Africa and Middle East,1714457209,beef,15274487257,15274.48726,5819.579645
2050,SSP2,Central Europe,1714457209,beef,19948226431,19948.22643,7600.27427
2050,SSP2,Central Latin America,1714457209,beef,20273797841,20273.79784,7724.316977
2050,SSP2,East Asia,1714457209,beef,16791065135,16791.06514,6397.395817
2050,SSP3,North Africa and Middle East,2004913219,beef,13803897965,13803.89796,5259.285125
2050,SSP3,Central Latin America,2004913219,beef,16900606790,16900.60679,6439.131187
2050,SSP3,East Asia,2004913219,beef,15026575531,15026.57553,5725.125277
2050,SSP3,Central Europe,2004913219,beef,19830535931,19830.53593,7555.43419
2050,SSP4,Central Latin America,1981120264,beef,18357587957,18357.58796,6994.241011
2050,SSP4,East Asia,1981120264,beef,16692808047,16692.80805,6359.959866
2050,SSP4,North Africa and Middle East,1981120264,beef,14919177733,14919.17773,5684.206716
2050,SSP4,Central Europe,1981120264,beef,21278887639,21278.88764,8107.25619
2050,SSP5,East Asia,1464277473,beef,18194405106,18194.40511,6932.068345
2050,SSP5,Central Europe,1464277473,beef,18852367567,18852.36757,7182.752043
2050,SSP5,Central Latin America,1464277473,beef,22552064064,22552.06406,8592.336408
2050,SSP5,North Africa and Middle East,1464277473,beef,14678438889,14678.43889,5592.485217
2015,SSP1,Central Europe,900712443.8,poultry,4375144619,4375.144619,1365.045121
2015,SSP1,East Asia,900712443.8,poultry,4310437036,4310.437036,1344.856355
2015,SSP1,North Africa and Middle East,900712443.8,poultry,3684415496,3684.415496,1149.537635
