Impact,Region,SSP,Approach,2020,2030,2040,2050
Land [Mkm2],Median,SSP2,pessimistic,4.218006557,7.139454318,12.18602344,17.47058429
Land [Mkm2],Median,SSP2,baseline,4.218006557,7.139454318,12.18602344,17.47058429
Land [Mkm2],Median,SSP2,optimistic,5.29800979,8.616573233,14.3315949,20.28097588
Land [Mkm2],Median,SSP3,pessimistic,4.05413805,6.557443791,8.965383507,11.69387328
Land [Mkm2],Median,SSP3,baseline,4.05413805,6.557443791,8.965383507,11.69387328
Land [Mkm2],Median,SSP3,optimistic,5.109918819,7.950228836,10.65456224,13.70909895
Land [Mkm2],Median,SSP4,pessimistic,3.971694109,6.623906839,9.565525803,13.82542129
Land [Mkm2],Median,SSP4,baseline,3.971694109,6.623906839,9.565525803,13.82542129
Land [Mkm2],Median,SSP4,optimistic,5.015357123,8.026191175,11.34021376,16.1382322
Land [Mkm2],Median,SSP5,pessimistic,4.42552066,8.593902359,14.41596253,15.66142074
Land [Mkm2],Median,SSP5,baseline,4.42552066,8.593902359,14.41596253,15.66142074
Land [Mkm2],Median,SSP5,optimistic,5.53585523,10.28119514,16.86957395,18.20444623
Water Cons. Blue [BCM],Central Europe,SSP1,pessimistic,10.05694637,14.89960244,24.43044518,29.53491078
Water Cons. Blue [BCM],Central Europe,SSP1,baseline,10.05694637,14.89960244,24.43044518,29.53491078
Water Cons. Blue [BCM],Central Europe,SSP1,optimistic,10.94290493,15.9203767,25.49379446,30.20848637
Water Cons. Blue [BCM],Central Europe,SSP2,pessimistic,10.02835993,13.41072475,20.29111399,28.79750737
Water Cons. Blue [BCM],Central Europe,SSP2,baseline,10.02835993,13.41072475,20.29111399,28.79750737
Water Cons. Blue [BCM],Central Europe,SSP2,optimistic,10.91520711,14.36449456,21.22679216,29.46460152
Water Cons. Blue [BCM],Central Europe,SSP3,pessimistic,10.13819641,13.64008133,16.57154627,19.04893392
Water Cons. Blue [BCM],Central Europe,SSP3,baseline,10.13819641,13.64008133,16.57154627,19.04893392
Water Cons. Blue [BCM],Central Europe,SSP3,optimistic,11.03052333,14.61436012,17.41038595,19.6015798
Water Cons. Blue [BCM],Central Europe,SSP4,pessimistic,10.07801962,13.63625499,16.8314583,21.3435293
Water Cons. Blue [BCM],Central Europe,SSP4,baseline,10.07801962,13.63625499,16.8314583,21.3435293
Water Cons. Blue [BCM],Central Europe,SSP4,optimistic,10.96572437,14.61026123,17.68028967,21.92773284
Water Cons. Blue [BCM],Central Europe,SSP5,pessimistic,10.0449828,15.23581262,26.86520126,31.71480641
Water Cons. Blue [BCM],Central Europe,SSP5,baseline,10.0449828,15.23581262,26.86520126,31.71480641
Water Cons. Blue [BCM],Central Europe,SSP5,optimistic,10.93047592,16.26724738,28.02243712,32.43374609
Water Cons. Blue [BCM],Central Latin America,SSP1,pessimistic,7.201119662,14.48483798,30.63389078,43.38652584
Water Cons. Blue [BCM],Central Latin America,SSP1,baseline,7.201119662,14.48483798,30.63389078,43.38652584
Water Cons. Blue [BCM],Central Latin America,SSP1,optimistic,8.064662599,16.02706334,33.66223751,47.81884936
Water Cons. Blue [BCM],Central Latin America,SSP2,pessimistic,6.934260052,12.28421907,24.8574047,43.85526299
Water Cons. Blue [BCM],Central Latin America,SSP2,baseline,6.934260052,12.28421907,24.8574047,43.85526299
Water Cons. Blue [BCM],Central Latin America,SSP2,optimistic,7.777648474,13.6544681,27.47180888,48.41915762
Water Cons. Blue [BCM],Central Latin America,SSP3,pessimistic,6.750254599,11.40816657,17.50110858,25.57512413
Water Cons. Blue [BCM],Central Latin America,SSP3,baseline,6.750254599,11.40816657,17.50110858,25.57512413
Water Cons. Blue [BCM],Central Latin America,SSP3,optimistic,7.576542773,12.70601347,19.50398929,28.55092804
Water Cons. Blue [BCM],Central Latin America,SSP4,pessimistic,6.634487138,11.50973015,18.60159606,30.28123024
