Impact,Region,SSP,Approach,2020,2030,2040,2050
Land [Mkm2],North Africa and Middle East,SSP4,baseline,0.041673911,0.07240786,0.11184083,0.169929848
Land [Mkm2],North Africa and Middle East,SSP4,optimistic,0.04785728,0.081111477,0.12362752,0.186168705
Land [Mkm2],North Africa and Middle East,SSP5,pessimistic,0.046910504,0.09952545,0.234456607,0.305780231
Land [Mkm2],North Africa and Middle East,SSP5,baseline,0.046910504,0.09952545,0.234456607,0.305780231
Land [Mkm2],North Africa and Middle East,SSP5,optimistic,0.053545626,0.110535371,0.256445303,0.333069134
Land [Mkm2],Median,SSP1,pessimistic,0.043478796,0.085340534,0.175391067,0.219060111
Land [Mkm2],Median,SSP1,baseline,0.043478796,0.085340534,0.175391067,0.219060111
Land [Mkm2],Median,SSP1,optimistic,0.049464578,0.094112517,0.189279489,0.23338399
Land [Mkm2],Median,SSP2,pessimistic,0.040748486,0.071931522,0.132137994,0.209455988
Land [Mkm2],Median,SSP2,baseline,0.040748486,0.071931522,0.132137994,0.209455988
Land [Mkm2],Median,SSP2,optimistic,0.046508091,0.079660967,0.143036764,0.223212945
Land [Mkm2],Median,SSP3,pessimistic,0.039261493,0.063549304,0.085611917,0.110463436
Land [Mkm2],Median,SSP3,baseline,0.039261493,0.063549304,0.085611917,0.110463436
Land [Mkm2],Median,SSP3,optimistic,0.044897916,0.070627041,0.093294804,0.118376957
Land [Mkm2],Median,SSP4,pessimistic,0.038774096,0.06451961,0.09313561,0.13189923
Land [Mkm2],Median,SSP4,baseline,0.038774096,0.06451961,0.09313561,0.13189923
Land [Mkm2],Median,SSP4,optimistic,0.044370144,0.071672787,0.101338535,0.141078085
Land [Mkm2],Median,SSP5,pessimistic,0.043721119,0.089837442,0.195150848,0.231132907
Land [Mkm2],Median,SSP5,baseline,0.043721119,0.089837442,0.195150848,0.231132907
Land [Mkm2],Median,SSP5,optimistic,0.049726974,0.098959056,0.210405067,0.246169432
Water Cons. Blue [BCM],Central Europe,SSP1,pessimistic,0.986281205,1.596193482,2.738178464,3.186835419
Water Cons. Blue [BCM],Central Europe,SSP1,baseline,0.986281205,1.596193482,2.738178464,3.186835419
Water Cons. Blue [BCM],Central Europe,SSP1,optimistic,0.946219197,1.515372844,2.548453522,2.885206733
Water Cons. Blue [BCM],Central Europe,SSP2,pessimistic,0.965564241,1.373532557,2.319322073,3.231859465
Water Cons. Blue [BCM],Central Europe,SSP2,baseline,0.965564241,1.373532557,2.319322073,3.231859465
Water Cons. Blue [BCM],Central Europe,SSP2,optimistic,0.926085285,1.301651244,2.155029988,2.926397487
Water Cons. Blue [BCM],Central Europe,SSP3,pessimistic,0.958172115,1.351924372,1.694174409,2.020225235
Water Cons. Blue [BCM],Central Europe,SSP3,baseline,0.958172115,1.351924372,1.694174409,2.020225235
Water Cons. Blue [BCM],Central Europe,SSP3,optimistic,0.918901201,1.280910577,1.567841136,1.817920296
Water Cons. Blue [BCM],Central Europe,SSP4,pessimistic,0.951684896,1.351658386,1.738869869,2.38801936
Water Cons. Blue [BCM],Central Europe,SSP4,baseline,0.951684896,1.351658386,1.738869869,2.38801936
Water Cons. Blue [BCM],Central Europe,SSP4,optimistic,0.912596555,1.28065527,1.609822699,2.154400884
Water Cons. Blue [BCM],Central Europe,SSP5,pessimistic,0.9841917,1.668630447,2.936317596,3.292879348
Water Cons. Blue [BCM],Central Europe,SSP5,baseline,0.9841917,1.668630447,2.936317596,3.292879348
Water Cons. Blue [BCM],Central Europe,SSP5,optimistic,0.944188499,1.584901633,2.734561694,2.982222213
Water Cons. Blue [BCM],Central Latin America,SSP1,pessimistic,0.697263778,1.638171705,4.167790827,6.368887555
Water Cons. Blue [BCM],Central Latin America,SSP1,baseline,0.697263778,1.638171705,4.167790827,6.368887555
Water Cons. Blue [BCM],Central Latin America,SSP1,optimistic,0.703424991,1.688928652,4.380418771,6.797979579
Water Cons. Blue [BCM],Central Latin America,SSP2,pessimistic,0.654517746,1.365690534,3.164701655,6.103893329
Water Cons. Blue [BCM],Central Latin America,SSP2,baseline,0.654517746,1.365690534,3.164701655,6.103893329
Water Cons. Blue [BCM],Central Latin America,SSP2,optimistic,0.660460774,1.410161854,3.33297284,6.516943088
Water Cons. Blue [BCM],Central Latin America,SSP3,pessimistic,0.626852337,1.205301666,2.02214622,3.206757048
Water Cons. Blue [BCM],Central Latin America,SSP3,baseline,0.626852337,1.205301666,2.02214622,3.206757048
Water Cons. Blue [BCM],Central Latin America,SSP3,optimistic,0.632654156,1.246073118,2.139893426,3.444419484
Water Cons. Blue [BCM],Central Latin America,SSP4,pessimistic,0.618565121,1.219491183,2.203525718,3.864783044
Water Cons. Blue [BCM],Central Latin America,SSP4,baseline,0.618565121,1.219491183,2.203525718,3.864783044
Water Cons. Blue [BCM],Central Latin America,SSP4,optimistic,0.62432464,1.260589961,2.329293554,4.142281168
Water Cons. Blue [BCM],Central Latin America,SSP5,pessimistic,0.701515186,1.730450987,4.634269242,6.835817331
Water Cons. Blue [BCM],Central Latin America,SSP5,baseline,0.701515186,1.730450987,4.634269242,6.835817331
Water Cons. Blue [BCM],Central Latin America,SSP5,optimistic,0.707698099,1.783336643,4.867524935,7.293176429
Water Cons. Blue [BCM],East Asia,SSP1,pessimistic,0.610613223,1.275239628,2.771367959,3.690119153
Water Cons. Blue [BCM],East Asia,SSP1,baseline,0.610613223,1.275239628,2.771367959,3.690119153
Water Cons. Blue [BCM],East Asia,SSP1,optimistic,0.589397652,1.236144833,2.684911391,3.561053456
Water Cons. Blue [BCM],East Asia,SSP2,pessimistic,0.5730106,1.064658706,2.106426898,3.527255899
Water Cons. Blue [BCM],East Asia,SSP2,baseline,0.5730106,1.064658706,2.106426898,3.527255899
Water Cons. Blue [BCM],East Asia,SSP2,optimistic,0.552545351,1.030342122,2.037869899,3.403288291
Water Cons. Blue [BCM],East Asia,SSP3,pessimistic,0.548679711,0.938982608,1.346925455,1.858723672
Water Cons. Blue [BCM],East Asia,SSP3,baseline,0.548679711,0.938982608,1.346925455,1.858723672
Water Cons. Blue [BCM],East Asia,SSP3,optimistic,0.52869996,0.907517692,1.298813501,1.786985922
Water Cons. Blue [BCM],East Asia,SSP4,pessimistic,0.541384457,0.950102321,1.468571973,2.236719093
Water Cons. Blue [BCM],East Asia,SSP4,baseline,0.541384457,0.950102321,1.468571973,2.236719093
Water Cons. Blue [BCM],East Asia,SSP4,optimistic,0.521550275,0.918385092,1.417185413,2.153148999
Water Cons. Blue [BCM],East Asia,SSP5,pessimistic,0.61435354,1.345066007,3.084636262,3.95141853
Water Cons. Blue [BCM],East Asia,SSP5,baseline,0.61435354,1.345066007,3.084636262,3.95141853
Water Cons. Blue [BCM],East Asia,SSP5,optimistic,0.593063335,1.304386808,2.989746814,3.814173411
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,pessimistic,1.568168459,5.064469465,17.49757924,32.1703494
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,baseline,1.568168459,5.064469465,17.49757924,32.1703494
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,optimistic,1.809165996,5.882611138,20.31528094,37.49424006
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,pessimistic,1.463804051,4.299967333,13.07212676,30.69125313
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,baseline,1.463804051,4.299967333,13.07212676,30.69125313
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,optimistic,1.695132474,5.024378446,15.26539608,35.79336052
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,pessimistic,1.416062533,3.79487547,8.556133589,16.22081649
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,baseline,1.416062533,3.79487547,8.556133589,16.22081649
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,optimistic,1.642967819,4.457360606,10.11219523,19.15315249
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,pessimistic,1.398808469,3.866221645,9.298643269,19.21826508
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,baseline,1.398808469,3.866221645,9.298643269,19.21826508
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,optimistic,1.624115207,4.537454064,10.9594732,22.60005387
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,pessimistic,1.576479207,5.316953456,19.48669525,34.56523776
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,baseline,1.576479207,5.316953456,19.48669525,34.56523776
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,optimistic,1.818246716,6.166050523,22.58506167,40.24823024
Water Cons. Blue [BCM],Median,SSP1,pessimistic,0.878055583,2.316218785,6.771278437,11.37423535
Water Cons. Blue [BCM],Median,SSP1,baseline,0.878055583,2.316218785,6.771278437,11.37423535
Water Cons. Blue [BCM],Median,SSP1,optimistic,0.924886286,2.500493876,7.435041433,12.64977078
Water Cons. Blue [BCM],Median,SSP2,pessimistic,0.821844662,1.950420992,5.100629343,10.87585733
Water Cons. Blue [BCM],Median,SSP2,baseline,0.821844662,1.950420992,5.100629343,10.87585733
