,,,2020,2030,2040,2050
Water Cons. Green [BCM],East Asia,SSP5,63.635802678445685,103.27592930884576,142.9295437859675,177.8098808144495
Water Cons. Green [BCM],North Africa and Middle East,SSP1,25.59690813272002,37.97920068483135,45.47978510437164,64.77590941077128
Water Cons. Green [BCM],North Africa and Middle East,SSP2,26.107570433022204,39.00337733286103,45.841933672972445,60.73790800969969
Water Cons. Green [BCM],North Africa and Middle East,SSP3,27.1497851114418,37.54006308689861,46.92811335419482,60.32483906617506
Water Cons. Green [BCM],North Africa and Middle East,SSP4,27.156417574010366,37.43465033163257,47.999873292916604,60.62079289788075
Water Cons. Green [BCM],North Africa and Middle East,SSP5,25.630110658343078,38.03968167567998,47.82489196483631,69.35978794764998
Fossil Fuels [EJ],Central Europe,SSP1,0.16173224462077285,0.3255371543190439,0.5083937584006004,0.7538780416038988
Fossil Fuels [EJ],Central Europe,SSP2,0.16419112691656398,0.2985237217165072,0.4789611485157939,0.6676233687099772
Fossil Fuels [EJ],Central Europe,SSP3,0.16531169688163927,0.2678337087966363,0.408684589214362,0.5600320451725952
Fossil Fuels [EJ],Central Europe,SSP4,0.16502955968087563,0.26943659915197826,0.4243830307564012,0.6208325433203533
Fossil Fuels [EJ],Central Europe,SSP5,0.16218963031342304,0.33224834879749193,0.5615525811042139,0.8811640887072769
Fossil Fuels [EJ],Central Latin America,SSP1,0.07539952464284692,0.13061561138987454,0.18912205961020195,0.3129934110428635
Fossil Fuels [EJ],Central Latin America,SSP2,0.07725410700684364,0.12227748492284643,0.17835607438708642,0.2733060835617752
Fossil Fuels [EJ],Central Latin America,SSP3,0.07935302460184339,0.11113672482604968,0.15067620714138086,0.21872676064951788
Fossil Fuels [EJ],Central Latin America,SSP4,0.0791963301704702,0.11139357123409105,0.15745784184556424,0.2509610205856907
Fossil Fuels [EJ],Central Latin America,SSP5,0.07645365082770834,0.13400345306350145,0.21190827949820434,0.34561611434800904
Fossil Fuels [EJ],East Asia,SSP1,0.16622973206202551,0.2780346473320716,0.3925179218506092,0.539699220585812
Fossil Fuels [EJ],East Asia,SSP2,0.1666328446557047,0.26119649951814256,0.37435686727511336,0.4967644431219104
Fossil Fuels [EJ],East Asia,SSP3,0.16890077475563348,0.23810024260907947,0.32637196315986805,0.41117819555474366
Fossil Fuels [EJ],East Asia,SSP4,0.16868768676907703,0.23999352577046215,0.3384581358242761,0.4662549450146536
Fossil Fuels [EJ],East Asia,SSP5,0.16694564127242942,0.28402180257567167,0.4229770015867073,0.5682036835767795
Fossil Fuels [EJ],North Africa and Middle East,SSP1,0.06628066885864,0.10173867397682473,0.1284829229637429,0.19355946589265463
Fossil Fuels [EJ],North Africa and Middle East,SSP2,0.06760297851788975,0.10448223814623969,0.12950601281714547,0.18149335363028726
Fossil Fuels [EJ],North Africa and Middle East,SSP3,0.07030169063239945,0.10056231228043494,0.13257453084303356,0.1802590459246193
Fossil Fuels [EJ],North Africa and Middle East,SSP4,0.07031886474008572,0.10027993261580023,0.13560231229415173,0.1811433973160606
Fossil Fuels [EJ],North Africa and Middle East,SSP5,0.06636664352392417,0.1019006904412447,0.13510798030782237,0.2072567352912899
Electricity [TWh],Central Europe,SSP1,7.589745554347817,15.23014820161739,23.67667947269292,34.95004262984883
Electricity [TWh],Central Europe,SSP2,7.705135599352242,13.96633368262013,22.30595754915325,30.951246632730612
Electricity [TWh],Central Europe,SSP3,7.757721531960261,12.530511568228413,19.03307006407377,25.963276248615195
Electricity [TWh],Central Europe,SSP4,7.744481441392153,12.605502263908198,19.76417063827143,28.782008039703886
Electricity [TWh],Central Europe,SSP5,7.61120967881735,15.544129217894445,26.152367629283127,40.85106710272136
Electricity [TWh],Central Latin America,SSP1,3.5455606663911485,6.135733166409717,8.87047783566831,14.657992396151212
Electricity [TWh],Central Latin America,SSP2,3.632769893803275,5.7440455373043875,8.365515942014108,12.799370060637582
Electricity [TWh],Central Latin America,SSP3,3.7314686549964162,5.220702802458331,7.067234559413072,10.243331267896986
Electricity [TWh],Central Latin America,SSP4,3.7241003112815614,5.232768289949179,7.385316651423321,11.752914283147296
Electricity [TWh],Central Latin America,SSP5,3.595129524566085,6.294878710458365,9.939230254086729,16.18576684850417
Electricity [TWh],East Asia,SSP1,7.748147414354917,12.833856439093198,17.8586108572431,24.208012552675875
Electricity [TWh],East Asia,SSP2,7.7669369278971825,12.056621033720832,17.032327040745404,22.28218870050484
Electricity [TWh],East Asia,SSP3,7.872647600307468,10.99051632912,14.84913060015841,18.44324864493802
Electricity [TWh],East Asia,SSP4,7.862715339013609,11.0779087621591,15.399022063483534,20.91369624186164
Electricity [TWh],East Asia,SSP5,7.781516716172023,13.110218725737015,19.244424910422286,25.48656988926936
Electricity [TWh],North Africa and Middle East,SSP1,3.1195678117945693,4.787838260276107,6.045296319173625,9.105533625813223
Electricity [TWh],North Africa and Middle East,SSP2,3.1818036752459222,4.916950828777737,6.093434088669096,8.53791276320802
Electricity [TWh],North Africa and Middle East,SSP3,3.308821335200337,4.732478490743674,6.237812036446956,8.479847763532824
Electricity [TWh],North Africa and Middle East,SSP4,3.3096296522352135,4.719189658577907,6.380273272964225,8.521449920778155
Electricity [TWh],North Africa and Middle East,SSP5,3.123614297797859,4.795462780995167,6.357014280475094,9.749888302983152
GHG [GtonCO2_eq],Central Europe,SSP1,0.0452983451644838,0.09011554002711897,0.13826596185493098,0.2014026972383793
GHG [GtonCO2_eq],Central Europe,SSP2,0.04598703466600601,0.08263765298916542,0.13026128428354947,0.17835928330322887
GHG [GtonCO2_eq],Central Europe,SSP3,0.04630088652136203,0.07414201109183778,0.11114842952024558,0.1496156648890182
GHG [GtonCO2_eq],Central Europe,SSP4,0.04622186487461844,0.07458572489852926,0.11541787634838759,0.16585885495949237
GHG [GtonCO2_eq],Central Europe,SSP5,0.04542645081849666,0.09197333999419713,0.1527233693863092,0.2354078702124029
GHG [GtonCO2_eq],Central Latin America,SSP1,0.021425065021242813,0.03721793080611105,0.054112038963767185,0.08992255354325175
GHG [GtonCO2_eq],Central Latin America,SSP2,0.02195205173504896,0.03484204471944737,0.05103165049428019,0.07852044185647668
GHG [GtonCO2_eq],Central Latin America,SSP3,0.02254846724476621,0.03166756937254014,0.043111823173911164,0.06283988145768667
GHG [GtonCO2_eq],Central Latin America,SSP4,0.022503941919229484,0.03174075581431483,0.045052200103124794,0.07210073763672659
GHG [GtonCO2_eq],Central Latin America,SSP5,0.021724599032167977,0.038183270673310676,0.060631684639621555,0.09929500893942232
GHG [GtonCO2_eq],East Asia,SSP1,0.04664794371132649,0.07727589000174336,0.10755059440700818,0.14581512181821624
GHG [GtonCO2_eq],East Asia,SSP2,0.04676106651637749,0.07259595938662267,0.10257443381478634,0.13421506836831998
GHG [GtonCO2_eq],East Asia,SSP3,0.047397500650657266,0.0661766737860094,0.08942648649231166,0.11109150502411712
GHG [GtonCO2_eq],East Asia,SSP4,0.04733770318675863,0.06670288569051191,0.09273811885779677,0.12597205816356907
GHG [GtonCO2_eq],East Asia,SSP5,0.04684884454973981,0.07893993710663906,0.11589643531771096,0.15351641465789134
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,0.01882979987715116,0.02897720321082766,0.03673477006041466,0.05555215444068182
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,0.019205457315017663,0.02975862499783092,0.037027283412666694,0.05208914358424453
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,0.01997213951491365,0.028642151940936212,0.037904608596990554,0.05173489352491937
GHG [GtonCO2_eq],North Africa and Middle East,SSP4,0.019977018539459216,0.028561724581310004,0.038770286718251966,0.05198870505948813
GHG [GtonCO2_eq],North Africa and Middle East,SSP5,0.018854224581498786,0.029023348730781735,0.03862895142302964,0.05948331234805873
CO2_f [GtonCO2_eq],Central Europe,SSP1,0.011016150095196228,0.022314451565295854,0.03517637733388102,0.05264330892273341
CO2_f [GtonCO2_eq],Central Europe,SSP2,0.01118363318738437,0.02046277372943061,0.03313989955636597,0.04662014451081441
CO2_f [GtonCO2_eq],Central Europe,SSP3,0.01125995913559456,0.018359078966071488,0.028277379655573347,0.03910704163510692
CO2_f [GtonCO2_eq],Central Europe,SSP4,0.011240741781885702,0.018468951583451795,0.0293635737602366,0.043352740846337126
CO2_f [GtonCO2_eq],Central Europe,SSP5,0.01104730423797423,0.02277448084964504,0.038854500393246505,0.06153169448290941
CO2_f [GtonCO2_eq],Central Latin America,SSP1,0.005248429352685809,0.009343556861359884,0.014073922693098064,0.02419147614567421
CO2_f [GtonCO2_eq],Central Latin America,SSP2,0.005377523595136305,0.008747090957126872,0.013272748868918043,0.02112401529146415
CO2_f [GtonCO2_eq],Central Latin America,SSP3,0.005523625586694787,0.00795013931921687,0.011212892326813018,0.016905541861569652
CO2_f [GtonCO2_eq],Central Latin America,SSP4,0.005512718360724721,0.007968512766249877,0.011717562182618975,0.019396949995960408
CO2_f [GtonCO2_eq],Central Latin America,SSP5,0.0053218052371554825,0.009585905314012126,0.015769607997127857,0.02671290733538119
CO2_f [GtonCO2_eq],East Asia,SSP1,0.011322776616798568,0.01905765888588851,0.02715134774169479,0.03766159435370107
CO2_f [GtonCO2_eq],East Asia,SSP2,0.011350234724276211,0.017903501731818556,0.02589510673797477,0.03466549558089739
CO2_f [GtonCO2_eq],East Asia,SSP3,0.011504715307166262,0.01632038757708333,0.022575882963913923,0.028693067948760413
CO2_f [GtonCO2_eq],East Asia,SSP4,0.0114902007697123,0.016450161132311108,0.02341191071858078,0.032536464635881564
CO2_f [GtonCO2_eq],East Asia,SSP5,0.01137154093811208,0.019468043575058103,0.02925827081386056,0.03965070881128767
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP1,0.004487399973000491,0.006890576823401055,0.008706771308169445,0.013124058027286504
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP2,0.004576924300840869,0.007076393474421864,0.008776101995665439,0.01230593034359663
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP3,0.004759635200967087,0.006810903968193492,0.008984043129696069,0.012222239650006995
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP4,0.0047607979395429805,0.006791778903006663,0.009189223709780387,0.012282201992453445
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP5,0.004493220715568785,0.00690154990620885,0.009155724817816619,0.014052784284964722
